@relation data1

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute class {Negative,Positive}

@data
0.090909,1,0.333333,0.333333,0.310345,0.5,0.4,0.4,0.4,0.4,0.2,0.214319,0.13722,0.124669,0.22597,0.148097,0.3138,0,0.003203,0.002715,0,0.005793,0.009847,0.090911,0.13722,0.13722,0.13722,0.214319,Positive
0.080808,1,0.5,0.333333,0.327586,0.2,0.2,0.2,0.2,0.2,0.2,0.226586,0.152529,0.136154,0.238073,0.13041,0.299835,0.004579,0.002197,0.003944,0.003221,0.004267,0.004173,0.080811,0.152529,0.152529,0.152529,0.226586,Negative
0.353535,1,0.166667,0.333333,0.362069,0.2,0.2,0.2,0.2,0.2,0.2,0.305667,0.243652,0.197088,0.338602,0.273382,0.420071,0.011453,0.011944,0.01676,0.016147,0.047024,0.032249,0.353536,0.243652,0.243652,0.243652,0.305667,Negative
0.080808,1,0.5,0.333333,0.810345,0,0,0,0,0.1,0.1,0.148289,0.067169,0.086894,0.16108,0.081691,0.314186,0,0.000594,0.001116,0.001694,0.166605,0.005691,0.080811,0.067169,0.067169,0.067169,0.148289,Negative
0.383838,1,0.333333,0.333333,0.275862,0.2,0.2,0.2,0.2,0.2,0.2,0.324038,0.258678,0.191442,0.236778,0.146948,0.312259,0.009519,0.004061,0.003348,0.003781,0.005629,0.004467,0.38384,0.258678,0.258678,0.258678,0.324038,Negative
0.10101,1,0.166667,0.666667,0.137931,0.2,0.2,0.2,0.2,0.2,0.2,0.189102,0.113233,0.114028,0.20817,0.132223,0.301867,0.002862,0.001484,0.002232,0.003221,0.004823,0.004743,0.101011,0.113233,0.113233,0.113233,0.189102,Negative
0.171717,1,0.333333,0.666667,0.206897,0.1,0.1,0.1,0.2,0.1,0.1,0.152106,0.067924,0.086998,0.161154,0.081302,0.261048,0.002055,0.000707,0,0.001061,0.000211,0.0168,0.171719,0.067924,0.067924,0.067924,0.152106,Negative
0.272727,1,0.166667,0.666667,0.206897,0.2,0.2,0.2,0.2,0.2,0.2,0.381925,0.316931,0.233306,0.407791,0.338749,0.456191,0.013737,0.007125,0.013392,0.015314,0.02345,0.01897,0.272728,0.316931,0.316931,0.316931,0.381925,Negative
0.292929,1,0.333333,0.333333,0.224138,0,0,0,0,0,0,0.327977,0.066139,0.086297,0.162035,0.080465,0.262374,0,0,0.002344,0,0.004689,0.009485,0.292931,0.066139,0.066139,0.066139,0.327977,Negative
0.30303,1,0.333333,0.666667,0.362069,0,0.1,0.2,0.2,0.2,0.2,0.144641,0.300068,0.223742,0.399642,0.338416,0.465166,0.297635,0.005937,0.01116,0.016103,0.023445,0.01897,0.303032,0.300068,0.300068,0.300068,0.144641,Negative
